1 0 13.6027 20.4041 4.7459
2 -10.4884 -7.18316 -0.286343 4.7459
3 14.1017 16.2252 20.9031 4.7459
4 -15.4841 -13.7486 -10.3831 4.7459
5 -7.17081 1.6419 -3.08999 4.7459
6 -3.55002 -7.1668 -0.149335 4.7459
7 -1.56589 -1.15647 1.34898 4.7459
8 -0.317026 6.439 2.23349 4.7459
9 0.538106 -1.58755 2.80523 4.7459
10 1.15803 5.29459 3.19844 4.7459
11 1.62654 0.637122 3.48146 4.7459
12 1.99207 4.97299 3.69241 4.7459
13 2.28455 1.75901 3.8541 4.7459
14 2.52345 4.85819 3.98089 4.7459
15 2.72195 2.42903 4.08223 4.7459
16 2.88929 4.80823 4.16454 4.7459
17 3.03211 2.87069 4.23235 4.7459
18 3.15532 4.78343 4.28888 4.7459
19 3.26262 3.18138 4.33652 4.7459
20 3.35684 4.76991 4.37705 4.7459
21 3.44019 3.41042 4.41182 4.7459
22 3.51441 4.76201 4.44187 4.7459
23 3.5809 3.58535 4.46804 4.7459
24 3.64078 4.75713 4.49095 4.7459
25 3.69497 3.72277 4.51114 4.7459
26 3.74423 4.75398 4.52901 4.7459
27 3.7892 3.83319 4.54491 4.7459
28 3.8304 4.75186 4.55912 4.7459
29 3.86828 3.92362 4.57187 4.7459
30 3.90322 4.75041 4.58336 4.7459
31 3.93555 3.99885 4.59375 4.7459
32 3.96554 4.74937 4.60316 4.7459
33 3.99343 4.0623 4.61173 4.7459
34 4.01943 4.74862 4.61955 4.7459
35 4.04373 4.11644 4.62671 4.7459
36 4.06649 4.74807 4.63327 4.7459
37 4.08784 4.16312 4.6393 4.7459
38 4.10792 4.74765 4.64487 4.7459
39 4.12682 4.20374 4.65 4.7459
40 4.14465 4.74733 4.65476 4.7459
41 4.16151 4.23936 4.65917 4.7459
42 4.17745 4.74708 4.66326 4.7459
43 4.19256 4.27083 4.66708 4.7459
44 4.2069 4.74688 4.67063 4.7459
45 4.22053 4.29882 4.67395 4.7459
46 4.23349 4.74673 4.67706 4.7459
47 4.24583 4.32384 4.67996 4.7459
48 4.25761 4.74661 4.68269 4.7459
49 4.26884 4.34635 4.68525 4.7459
50 4.27958 4.74651 4.68766 4.7459
51 4.28985 4.36668 4.68993 4.7459
52 4.29968 4.74642 4.69207 4.7459
53 4.3091 4.38513 4.69409 4.7459
54 4.31814 4.74636 4.69599 4.7459
55 4.32681 4.40195 4.6978 4.7459
56 4.33515 4.7463 4.6995 4.7459
57 4.34316 4.41733 4.70112 4.7459
58 4.35086 4.74625 4.70266 4.7459
59 4.35828 4.43144 4.70412 4.7459
60 4.36543 4.74621 4.7055 4.7459
61 4.37232 4.44444 4.70682 4.7459
62 4.37897 4.74618 4.70807 4.7459
63 4.38539 4.45645 4.70927 4.7459
64 4.39159 4.74615 4.7104 4.7459
65 4.39758 4.46757 4.71149 4.7459
